"ID","Address","City","State","Zip","lat","long","id","input_address","match_indicator","match_type","matched_address","tiger_line_id","tiger_side"
201553,"406 DAVIS STREET","CLARKSBURG","WV",26301,39.2799519270001,-80.3583708309999,53,"406 DAVIS STREET, CLARKSBURG, WV, 26301","Match","Exact","406 DAVIS ST, CLARKSBURG, WV, 26301",53302330,"R"
201554,"406 DEXTER PL","MONROE","NC",28110,35.0069236940001,-80.645993816,54,"406 DEXTER PL, MONROE, NC, 28110","Match","Exact","406 DEXTER PL, MONROE, NC, 28110",618497440,"R"
201555,"406 DOMINION DR","EULESS","TX",76039,32.8422010900001,-97.070452538,55,"406 DOMINION DR, EULESS, TX, 76039","Match","Exact","406 DOMINION DR, EULESS, TX, 76039",642827309,"L"
201556,"406 E 11TH ST","PORT ANGELES","WA",98362,48.107996744,-123.435653266,56,"406 E 11TH ST, PORT ANGELES, WA, 98362","Match","Exact","406 E 11TH ST, PORT ANGELES, WA, 98362",150849041,"L"
201557,"406 E 14TH STREET","FREMONT","NE",68025,41.4422605730001,-96.49261346,57,"406 E 14TH STREET, FREMONT, NE, 68025","Match","Exact","406 E 14TH ST, FREMONT, NE, 68025",136314539,"R"
201558,"406 E 7TH ST","LEHIGH ACRES","FL",33972,26.624930217,-81.62485005,58,"406 E 7TH ST, LEHIGH ACRES, FL, 33972","Match","Exact","406 E 7TH ST, LEHIGH ACRES, FL, 33972",118056850,"L"
201559,"406 E CONVERSE ST","WEIMAR","TX",78962,29.705164509,-96.775686018,59,"406 E CONVERSE ST, WEIMAR, TX, 78962","Match","Exact","406 E CONVERSE ST, WEIMAR, TX, 78962",41165574,"L"
201560,"406 E DIANE DRIVE","PALATINE","IL",60074,NA,NA,60,"406 E DIANE DRIVE, PALATINE, IL, 60074","Tie",NA,NA,NA,NA
201561,"406 E ELM","FAIRBURY","IL",61739,40.74489657,-88.508096021,61,"406 E ELM, FAIRBURY, IL, 61739","Match","Non_Exact","406 E ELM ST, FAIRBURY, IL, 61739",22379357,"R"
201562,"406 E LOCUST","SAN ANTONIO","TX",78212,29.4457650780001,-98.490105881,62,"406 E LOCUST, SAN ANTONIO, TX, 78212","Match","Non_Exact","406 E LOCUST ST, SAN ANTONIO, TX, 78212",101524176,"R"
201563,"406 E SEYMOUR ST","KENTLAND","IN",47951,40.7680021640001,-87.443237701,63,"406 E SEYMOUR ST, KENTLAND, IN, 47951","Match","Exact","406 E SEYMOUR ST, KENTLAND, IN, 47951",98325538,"R"
201564,"406 E SOUTH ST","COLDWATER","OH",45828,40.4778379270001,-84.624761769,64,"406 E SOUTH ST, COLDWATER, OH, 45828","Match","Exact","406 E SOUTH ST, COLDWATER, OH, 45828",43087996,"R"
201565,"406 E VANDERBILT WAY","SAN BERNARDINO","CA",92408,34.068731977,-117.276543785,65,"406 E VANDERBILT WAY, SAN BERNARDINO, CA, 92408","Match","Non_Exact","406 E VANDERBILT LN, SAN BERNARDINO, CA, 92408",144659507,"R"
201566,"406 EAST 21ST STREET","SIOUX FALLS","SD",57105,43.533541305,-96.7215819959999,66,"406 EAST 21ST STREET, SIOUX FALLS, SD, 57105","Match","Exact","406 E 21ST ST, SIOUX FALLS, SD, 57105",34972984,"L"
201567,"406 EAST 300 SOUTH  265","SALT LAKE CITY","UT",84111,NA,NA,67,"406 EAST 300 SOUTH  265, SALT LAKE CITY, UT, 84111","No_Match",NA,NA,NA,NA
